,0
0,"The Role:        The occupant of this role will work as an integral part of the Bespoke Data and Analytics Team. They will participate in activities such as data exploration, anomaly detection, analytical modelling and communicating data insights to business. They will; • Manipulate and analyse big data from disparate systems • Utilise complex analytic techniques and use computational methods to discover data patterns and develop useful summaries and reports to support overall business outcomes • Present data and complex numerical information in a clear and concise manner and clearly communicate statistical concepts to senior and non-technical audiences • Work collaboratively in a team environment, consult and share information with others and communicate decisions and progress to achieve work area and business outcomes   Skills and Experience Required: • Experience in database management and data retrieval from Teradata Warehouse and Cloudera Hadoop data stores • Experience in data analysisdata science techniques and tools • Experience in a range of programming languages including SQL, R and Python • has strong statistical analysis skills • has experience with machine learning approaches • can work independently and with limited direction • Sound communication skills • Data matching experience • Data exploration experience • Demonstrated ability to work under pressure   Location and Contract Term: Adelaide based role. 6 month contract with 3 x 6 month contract extension options pending budget and delegate approval.   Security Requirements: Applicants must be Australian Citizens to apply for this role. Baseline Security Clearance or the ability to obtain Baseline Clearance is required for the role   How to Apply: Applications close 30 September.  Please upload your resume to apply. Please note you may need to complete selection criteria to complete this application process. We will be in touch with instructions for suitably skilled candidates Call Kelly 1300 944 936 for any further information"
1,"As the Data Scientist, you will be responsible for providing hospital, medical and ancillary statistical analysis encompassing claims, modalities, providers, networks, product, and channels, at geographical, clinical group practice and provider levels.The primary focus of this role is to provide advanced statistical analysis, machine learning and AI to hospital, medical and ancillary business problems. Targeting areas that will not only have an impact on benefits management but also on product design and fund rules.As the Data Scientist, you will: Collaborate with internal stakeholders/customers to identify their business problem and provide meaningful, actionable insightsProcessing, cleansing, manipulating, and verifying the integrity of data used for analysesCreate training data sets and perform cross validation to test the efficiency of the resulting algorithmsApply statistical techniques and machine learning approaches to a wide variety of business problemsMultivariate statistical analysis of health business trends to inform decision making regarding future sustainable affordability of the businessProvide analytical support services to optimise contract negotiations and provider (hospital, medical and ancillary) reviewsTo be successful in this role, you will have:A strong background in data science, analytics or data engineering2+ years’ experience working in analyticsExperience leveraging statistical programming languages (SAS, R and/or Python)Proficiency and experience in statistical modelling and machine learning techniquesKnowledge of advanced statistical techniques and conceptsExperience with data visualization tools, preferably Power BIBachelor’s degree in highly quantitative field or equivalent experienceFraud modelling experience is desirableYou will get the opportunity to work with a high performing team and be exposed to opportunities to advance your skills and career. You will be offered a competitive salary, flexible work conditions, training, subsidised private health insurance and discounts on travel, home, car and life insurance. At Bupa, we're focused on investing in you.Be at the heart of helping people live longer, healthier, happier lives. At Bupa, we employ more than 80,000 people globally who are making this a reality. If you've got the belief, the drive and the talent to help us in our ambition then we’d like to hear from you. Wherever you work, one thing stands out about Bupa people. Our customers are our passion - they’re at the heart of our positively different culture of care. Our people reflect the diversity of our community. At Bupa, your wellbeing, identity and own story is respected and valued."
2,"The Role:        The occupant of this role will work as an integral part of the Bespoke Data and Analytics Team. They will participate in activities such as data exploration, anomaly detection, analytical modelling and communicating data insights to business. They will; • Manipulate and analyse big data from disparate systems • Utilise complex analytic techniques and use computational methods to discover data patterns and develop useful summaries and reports to support overall business outcomes • Present data and complex numerical information in a clear and concise manner and clearly communicate statistical concepts to senior and non-technical audiences • Work collaboratively in a team environment, consult and share information with others and communicate decisions and progress to achieve work area and business outcomes   Skills and Experience Required: • Experience in database management and data retrieval from Teradata Warehouse and Cloudera Hadoop data stores • Experience in data analysisdata science techniques and tools • Experience in a range of programming languages including SQL, R and Python • has strong statistical analysis skills • has experience with machine learning approaches • can work independently and with limited direction • Sound communication skills • Data matching experience • Data exploration experience • Demonstrated ability to work under pressure   Location and Contract Term: Adelaide based role. 6 month contract with 3 x 6 month contract extension options pending budget and delegate approval.   Security Requirements: Applicants must be Australian Citizens to apply for this role. Baseline Security Clearance or the ability to obtain Baseline Clearance is required for the role   How to Apply: Applications close 30 September.  Please upload your resume to apply. Please note you may need to complete selection criteria to complete this application process. We will be in touch with instructions for suitably skilled candidates Call Kelly 1300 944 936 for any further information"
3,"S2M are working with a FinTech who have created a unique financial product to help thousands of people better manage their finance, and is currently scaling the company to the next level!They are looking for a Data Scientist to join, and looking for someone who wants to be hands on, with opportunity to grow the team in future. Areas of focus  Product performance improvement within the core app User experience improvement within the core app Credit and financial risk optimisation for lending Marketing and growth optimisation Any areas of the business which can be optimised using data analytics   Role:  Leading and eventually building our internal data science capability by coaching and mentoring other data scientists Develop and code software programs, algorithms and automated processes to cleanse, integrate and evaluate large data sets from multiple disparate sources. Work with massive and complex data sets from multiple sources, utilising big data tools and techniques for the purposes of analysing, providing insight and validating hypotheses. Performing deep dive analyses of experiments through reliable modelling methods that include numerous explanatory variables and covariates. Ensure quality of team deliverables by implementing appropriate model review practices Translating analytical insights into concrete, actionable recommendations for business, process or product improvements. Making recommendations for the collection of new data or the refinement of existing data sources and storage.   Your experience:   Experience in leading a data science function. 5+ years’ experience in a data science environment. Ability to manipulate and analyse complex, high-volume, high dimensionality data and metadata from varying sources. Passion for empirical research and for answering hard questions with data. Must have experience using modern machine learning techniques (CNN, Deep Learning etc.) Experience working in an AWS environment. Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner. Flexible analytical approach that allows for results at varying levels of precision. Solid understanding and experience with programming logic and various paradigms. "
4,"About The Role The occupant of this role will work as an integral part of the Bespoke Data and Analytics Team. They will participate in activities such as data exploration, anomaly detection, analytical modelling, and communicating data insights to the business.Required Skills  Experience in database management and data retrieval from Teradata Warehouse and Cloudera Hadoop data stores Experience in data analysis\data science techniques and tools Experience in a range of programming languages including SQL, R and Python has strong statistical analysis skills  has experience with machine learning approaches can work independently and with limited direction Sound communication skills  Data matching experience Data exploration experience Demonstrated ability to work under pressure  Desirable Skills:  Some Network analytics experience and has used tools such Gephi Experience with data visualisation preferably with Shiny understands the different data we collect at the ATO and how it is relevant to Serious Financial Crime and Offshore Tax Evasion  They will:  Manipulate and analyse big data from disparate systems Utilise complex analytic techniques and use computational methods to discover data patterns and develop useful summaries and reports to support overall business outcomes Present data and complex numerical information in a clear and concise manner and clearly communicate statistical concepts to senior and non-technical audiences Work collaboratively in a team environment, consult and share information with others and communicate decisions and progress to achieve work area and business outcomes  *Baseline Security Clearance or the ability to obtain Baseline Clearance is required for the role*Apply for more info!Please contact Sally Dixon from MTP Services at sally.dixon@mtpservices.com.au or on 0450050252 should you have any questions."
5,"Exiting permanent opportunity for a Data Scientist to join an enterprise financial services organisation  Your new company  This well-known Financial Services organisation is seeking experienced Data Analyst / Data Scientist with relevant tertiary qualifications in Computer Science, Statistics / Machine Learning, quantitative finance and thrives in a challenging and dynamic collaborative environment.  Your new role  You will be joining a team made up of Data Scientists and Data Engineers working collaboratively to support the timely resolution of events by creating analytical tools and models to identify the number of customers impacted. Develop the financial calculators to determine the appropriate customer compensation to ensure customers are remediated fairly, accurately and in a timely mannerBuild, test and document calculators/models used in customer remediation events and ensure that they comply with the Model Risk Policy and maintain and leverage repository of rules, models and calculators to maximise efficiency and qualityManage the hygiene and quality of your analysis which includes documentation (e.g. processes, assumptions, risks on Wiki/Confluence/Teams), version control (e.g. GIT) and peer reviews What you'll need to succeed  To be successful you will require the following skills/ experience: Statistics principles and Machine Learning modelsEngineering principles such as data sourcing, cleansing and transformationAwareness of ethical and regulatory constraints in utilising various data setsPreferred knowledge of text analytics/dealing with unstructured dataUnderstanding of statistical techniques and approaches and the application of these for customer event analysisIntermediate proficiency in SQL and Coding abilities in either Python or RPreferred working experience on cloud platforms, including S3, Redshift and/or DynamoDBData visualisation (e.g. Tableau, Qlik) would be advantageous What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or contact Reece Curtis reece.curtis@hays.com.au if you have any questions/ queries.  SA Licence number : LHS 297508"
6,"NOW FINANCE is looking for a Data Scientist that is passionate about data, modelling and finding solutions to drive business performance. This is a fantastic opportunity to join a progressive, creative, and intelligent team. Our role will include the development of statistical models for use across the business and credit lifecycle using advanced techniques across internal and external data sources. In addition, the role will see you providing data insights and analysis into risk strategy, marketing campaigns, customer demographics, and conversion statistics with the aim of optimising business outcomes. Our Data and Analytics team is growing rapidly and will be key to our strategic success. We are a passionate organisation driven to make a difference. A place where you can achieve your personal best and be part of our strong service and sales based culture. Our values shape our culture and underpin the way we work every day, they're what we stand for! Key Responsibilities:  Development of predictive risk management, marketing  and business intelligence solutions Design and write programs for data extraction, segmentation and statistical analysis on large datasets using languages such as SAS, R, Python, SQL, Spark and other big data computing platforms. Develop credit, marketing and pricing analytics insights and recommendations Build, rebuild and monitor models across multiple functional areas Industrialise management reporting Communicate results and findings to a range of stakeholders To be successful in the role, you will have:  Advanced knowledge of analytics and / or modelling best practice, gained in a lending or similar environment Excellent written and verbal communication skills A willingness to be flexible and dynamic An analytical mind and inclination for problem-solving The ability to work on complex problems and deliver comprehensive solutions An aptitude and desire to learn new competencies and skills Strong organisational and prioritisation skills Confidence and high levels of self-motivation Attributes & Requirements:  Minimum of BA/BSc degree in a quantitative degree such as Applied Mathematics, Statistics, Computer Science, or related field.  An advanced degree (MA/MSc, equivalent or higher) is a preference 3 – 5 years relevant work experience with data science / analytics, financial modelling, statistical modelling in a relevant industry Strong track record in understanding business problems and implementing analytical solutions to solve them with extensive experience in explaining complex technical concepts in simple terms.  Demonstrated application of market leading machine learning and deep learning techniques Advanced programming skills; mastery or experience in languages and programs such as SAS, R, Python, SQL Fluency in data querying and manipulation  Advanced understanding of statistical techniques such as (generalised)linear regression, statistical inference, clustering, time series, etc Additional experience with other programming languages would be valued. At NOW FINANCE we support and encourage our employees personal and professional development – What we can off you is :  A dynamic work culture, with the opportunity to develop Generous salary plus bonus The opportunity to work within a fun and energetic team, alongside a supportive leadership team A positive work environment, great office space, fruit supplied and free coffee! Candidates who meet the above criteria, please apply online today to be considered for this opportunity  Job Type: Full-time"
7,"Essential Experience:3+ years experience programming using Python and relevant Python LibrariesExposure to CI / CD practices, Github and DockerStrong understading of various distribution models, maximum likelihood estimations and cost functionsExperience working in Agile teamsDesirable Experience:Oil & Gas experienceDemonstrated experience building forecasting / regression / classification modelsDeep Learning experience (e.g. Tensorflow, Caffe etc)Strong understanding of cloud based infrastructure (ideally AWS)In order to apply for this role, please click 'Apply Now'. For more information about this role, please contact Aaron Sherlock on 0861 511 705 for a confidential discussion"
8,"We are now seeking Data Scientist for our large Federal Government client in Canberra and AdelaideDuration: This is an initial 6 month contract with 3 x 6 month extensionsAustralian citizens with ability to obtain Baseline clearance are eligible to applyRole:You will work as an integral part of the Bespoke Data and Analytics Team. You will participate in activities such as data exploration, anomaly detection, analytical modelling and communicating data insights to business.Responsibilities:Manipulate and analyse big data from disparate systemsUtilise complex analytic techniques and use computational methods to discover data patterns and develop useful summaries and reports to support overall business outcomesPresent data and complex numerical information in a clear and concise manner and clearly communicate statistical concepts to senior and non-technical audiencesWork collaboratively in a team environment, consult and share information with others and communicate decisions and progress to achieve work area and business outcomesEssential Skills:Experience in database management and data retrieval from Teradata Warehouse and Cloudera Hadoop data storesExperience in data analysis\data science techniques and toolsExperience in a range of programming languages including SQL, R and PythonHas strong statistical analysis skillsHas experience with machine learning approachesCan work independently and with limited directionData matching experienceData exploration experienceNice to have skills:Some Network analytics experience and has used tools such GephiExperience with data visualisation preferably with Shiny If you wish to apply for this position, please submit your resume by clicking the 'Apply Now' button. For further information please contact Karun Sharma at Clicks IT Recruitment on 02 6202 7744."
9,"We are now seeking Data Scientist for our large Federal Government client in AdelaideDuration: This is an initial 6 month contract with 3 x 6 month extensionsAustralian citizens with ability to obtain Baseline clearance are eligible to applyRole:You will work as an integral part of the Bespoke Data and Analytics Team. You will participate in activities such as data exploration, anomaly detection, analytical modelling and communicating data insights to business.Responsibilities:Manipulate and analyse big data from disparate systemsUtilise complex analytic techniques and use computational methods to discover data patterns and develop useful summaries and reports to support overall business outcomesPresent data and complex numerical information in a clear and concise manner and clearly communicate statistical concepts to senior and non-technical audiencesWork collaboratively in a team environment, consult and share information with others and communicate decisions and progress to achieve work area and business outcomesEssential Skills:Experience in database management and data retrieval from Teradata Warehouse and Cloudera Hadoop data storesExperience in data analysis\data science techniques and toolsExperience in a range of programming languages including SQL, R and PythonHas strong statistical analysis skillsHas experience with machine learning approachesCan work independently and with limited directionData matching experienceData exploration experienceNice to have skills:Some Network analytics experience and has used tools such GephiExperience with data visualisation preferably with Shiny If you wish to apply for this position, please submit your resume by clicking the 'Apply Now' button. For further information please contact Karun Sharma at Clicks IT Recruitment on 02 6202 7744."
